T        MC_cycles-ac             N_spins      accepted flips               <E>/N             <|M|>/N
1                 900                   4                   9   -1.98095238095238   0.992063492063492
1                 900                   4                   9   -1.98101265822785   0.992088607594937
1                 900                   4                   9   -1.98107255520505    0.99211356466877
1                 900                   4                   9    -1.9811320754717   0.992138364779874
1                 900                   4                   9   -1.98119122257053   0.992163009404389
1                 900                   4                   9            -1.98125           0.9921875
1                 900                   4                   9   -1.98130841121495   0.992211838006231
1                 900                   4                   9   -1.98136645962733   0.992236024844721
1                 900                   4                   9   -1.98142414860681   0.992260061919505
1                 900                   4                   9   -1.98148148148148   0.992283950617284
1                 900                   4                   9   -1.98153846153846   0.992307692307692
1                 900                   4                   9   -1.98159509202454   0.992331288343558
1                 900                   4                   9   -1.98165137614679   0.992354740061162
1                 900                   4                   9   -1.98170731707317   0.992378048780488
1                 900                   4                   9   -1.98176291793313   0.992401215805471
1                 900                   4                   9   -1.98181818181818   0.992424242424242
1                 900                   4                   9   -1.98187311178248   0.992447129909366
1                 900                   4                   9   -1.98192771084337   0.992469879518072
1                 900                   4                   9   -1.98198198198198   0.992492492492492
1                 900                   4                   9   -1.98203592814371    0.99251497005988
1                 900                   4                   9   -1.98208955223881   0.992537313432836
1                 900                   4                   9   -1.98214285714286   0.992559523809524
1                 900                   4                   9   -1.98219584569733   0.992581602373887
1                 900                   4                   9   -1.98224852071006   0.992603550295858
1                 900                   4                   9   -1.98230088495575   0.992625368731563
1                 900                   4                   9   -1.98235294117647   0.992647058823529
1                 900                   4                   9   -1.98240469208211    0.99266862170088
1                 900                   4                   9   -1.98245614035088   0.992690058479532
1                 900                   4                   9   -1.98250728862974   0.992711370262391
1                 900                   4                   9   -1.98255813953488   0.992732558139535
1                 900                   4                   9   -1.98260869565217   0.992753623188406
1                 900                   4                   9   -1.98265895953757   0.992774566473988
1                 900                   4                   9   -1.98270893371758   0.992795389048991
1                 900                   4                   9   -1.98275862068966   0.992816091954023
1                 900                   4                   9   -1.98280802292264   0.992836676217765
1                 900                   4                   9   -1.98285714285714   0.992857142857143
1                 900                   4                   9   -1.98290598290598   0.992877492877493
1                 900                   4                   9   -1.98295454545455   0.992897727272727
1                 900                   4                   9   -1.98300283286119   0.992917847025496
1                 900                   4                   9   -1.98305084745763   0.992937853107345
1                 900                   4                   9    -1.9830985915493   0.992957746478873
1                 900                   4                   9   -1.98314606741573   0.992977528089888
1                 900                   4                   9   -1.98319327731092   0.992997198879552
1                 900                   4                   9   -1.98324022346369   0.993016759776536
1                 900                   4                   9   -1.98328690807799   0.993036211699164
1                 900                   4                   9   -1.98333333333333   0.993055555555556
1                 900                   4                   9   -1.98337950138504   0.993074792243767
1                 900                   4                   9   -1.98342541436464   0.993093922651934
1                 900                   4                   9   -1.98347107438017   0.993112947658402
1                 900                   4                   9   -1.98351648351648   0.993131868131868
1                 900                   4                   9   -1.98356164383562   0.993150684931507
1                 900                   4                   9   -1.98360655737705   0.993169398907104
1                 900                   4                   9   -1.98365122615804   0.993188010899183
1                 900                   4                   9   -1.98369565217391    0.99320652173913
1                 900                   4                   9   -1.98373983739837   0.993224932249323
1                 900                   4                   9   -1.98378378378378   0.993243243243243
1                 900                   4                   9   -1.98382749326146   0.993261455525607
1                 900                   4                   9   -1.98387096774194   0.993279569892473
1                 900                   4                   9   -1.98391420911528   0.993297587131367
1                 900                   4                   9   -1.98395721925134    0.99331550802139
1                 900                   4                   9              -1.984   0.993333333333333
